Movie Name,Name,Year
ALLAUDIN KA CHIRAG (1958),ALLAUDIN KA CHIRAG,1958
ALLAUDIN LAILA (1941),ALLAUDIN LAILA,1941
ALLAUDIN LAILA (1957),ALLAUDIN LAILA,1957
AMA PYAR (1958),AMA PYAR,1958
AMAANAT (1943),AMAANAT,1943
AMAANAT (1955),AMAANAT,1955
AMAANAT (1977),AMAANAT,1977
AMAANAT (1994),AMAANAT,1994
AMAN (1967),AMAN,1967
AMANUSH (1975),AMANUSH,1975
AMAR (1954),AMAR,1954
AMAR AKBAR ANTHONY (1977),AMAR AKBAR ANTHONY,1977
AMAR DEEP (1958),AMAR DEEP,1958
AMAR DEEP (1979),AMAR DEEP,1979
AMAR JYOTI (1965),AMAR JYOTI,1965
AMAR JYOTI(1936),AMAR JYOTI,1936
AMAR KAHANI (1949),AMAR KAHANI,1949
AMAR PREM (1936),AMAR PREM,1936
AMAR PREM (1948),AMAR PREM,1948
AMAR PREM (1960),AMAR PREM,1960
AMAR PREM (1971),AMAR PREM,1971
AMAR RAHE YEH PYAR (1961),AMAR RAHE YEH PYAR,1961
AMAR SAIGAL (1955),AMAR SAIGAL,1955
AMAR SHAHEED (1960),AMAR SHAHEED,1960
AMAR SHAKTI (1978),AMAR SHAKTI,1978
AMAR SINGH RATHOD (1957),AMAR SINGH RATHOD,1957
AMAVAS KI RAAT (1990),AMAVAS KI RAAT,1990
AMBA (1990),AMBA,1990
AMBER (1952),AMBER,1952
AMEER (1954),AMEER,1954
AMEER ADMI GARIB ADMI (1985),AMEER ADMI GARIB ADMI,1985
AMEER GARIB (1974),AMEER GARIB,1974
AMEER ZADI (1934),AMEER ZADI,1934
AMEERI (1945),AMEERI,1945
AMEERI GAREEBI (1990),AMEERI GAREEBI,1990
AMMA (1986),AMMA,1986
AMRAPALI (1945),AMRAPALI,1945
AMRAPALI (1966),AMRAPALI,1966
AMRIT (1941),AMRIT,1941
AMRIT MANTHAN (1934),AMRIT MANTHAN,1934
AMRIT MANTHAN (1960),AMRIT MANTHAN,1960
AN EVENING IN PARIS (1967),AN EVENING IN PARIS,1967
ANAAM (1992),ANAAM,1992
ANAMIKA (1973),ANAMIKA,1973
ANAND (1970),ANAND,1970
ANAND ASHRAM (1977),ANAND ASHRAM,1977
ANAND AUR ANAND (1984),ANAND AUR ANAND,1984
ANAND BHAVAN (1953),ANAND BHAVAN,1953
ANAND MATH (1952),ANAND MATH,1952
ANAR BALA (1961),ANAR BALA,1961
ANARI (1959),ANARI,1959
ANARI (1975),ANARI,1975
ANARI (1993),ANARI,1993
ANARI DADA (1994),ANARI DADA,1994
ANARKALI (1935),ANARKALI,1935
ANARKALI (1953),ANARKALI,1953
ANDAAZ (1949),ANDAAZ,1949
ANDAAZ (1971),ANDAAZ,1971
ANDAAZ APNA APNA (1994),ANDAAZ APNA APNA,1994
ANDAAZ(1994),ANDAAZ,1994
ANDAAZ(1994),ANDAAZ,1994
ANDAR BAHAR (1984),ANDAR BAHAR,1984
ANDHA INSAAF (1993),ANDHA INSAAF,1993
ANDHA INTEQUAM (1993),ANDHA INTEQUAM,1993
ANDHA KANOON (1983),ANDHA KANOON,1983
ANDHA YUDH (1988),ANDHA YUDH,1988
ANDHER NAGARI CHAUPAT RAJA (1955),ANDHER NAGARI CHAUPAT RAJA,1955
ANDHERA (1975),ANDHERA,1975
ANDHERA (1994),ANDHERA,1994
ANDHERGARDI(1989),ANDHERGARDI,1989
ANDHERI RAAT MEIN DIYATERE HATH MEIN(1988),ANDHERI RAAT MEIN DIYATERE HATH MEIN,1988
ANDHIGALI (1985),ANDHIGALI,1985
ANDHON KA SAHARA (1948),ANDHON KA SAHARA,1948
ANDHON KI DUNIYA (1947),ANDHON KI DUNIYA,1947
ANDOLAN (1951),ANDOLAN,1951
ANDOLAN (1977),ANDOLAN,1977
ANDOLAN (1995),ANDOLAN,1995
ANG SE ANG LAGA LE (1974),ANG SE ANG LAGA LE,1974
ANGAAR (1980),ANGAAR,1980
ANGAAR (1992),ANGAAR,1992
ANGAAR VADEE (1998),ANGAAR VADEE,1998
ANGAAREY (1954),ANGAAREY,1954
ANGAAREY (1975),ANGAAREY,1975
ANGAAREY (1986),ANGAAREY,1986
ANGAAREY (1996),ANGAAREY,1996
ANGAAREY (1998),ANGAAREY,1998
ANGARAKSHAK (1995),ANGARAKSHAK,1995
ANGOOR (1982),ANGOOR,1982
ANGOORI (1943),ANGOORI,1943
ANGOOTHI (1944),ANGOOTHI,1944
ANGULIMAL (1960),ANGULIMAL,1960
ANHONI (1952),ANHONI,1952
ANHONI (1973),ANHONI,1973
ANITA (1967),ANITA,1967
ANJAAM (1968),ANJAAM,1968
ANJAAM (1978),ANJAAM,1978
ANJAAM (1986),ANJAAM,1986
ANJAAM (1994),ANJAAM,1994
ANJAAN (1941),ANJAAN,1941
ANJAAN (1952),ANJAAN,1952
ANJAAN (1956),ANJAAN,1956
ANJAAN HAI KOI (1969),ANJAAN HAI KOI,1969
ANJAAN RAHEN (1974),ANJAAN RAHEN,1974
ANJAANA (1948),ANJAANA,1948
ANJAANA (1969),ANJAANA,1969
ANJALI (1957),ANJALI,1957
ANJALI (1991),ANJALI,1991
ANJANE MEIN (1978),ANJANE MEIN,1978
ANJANGARH (1948),ANJANGARH,1948
ANJUMAN (1948),ANJUMAN,1948
ANKAHEE (1985),ANKAHEE,1985
ANKH KA NASHA (1956),ANKH KA NASHA,1956
ANKHIYON KE JHAROKHON SE (1978),ANKHIYON KE JHAROKHON SE,1978
ANKUR (1974),ANKUR,1974
ANKUSH (1986),ANKUSH,1986
ANMOL (1993),ANMOL,1993
ANMOL GHADI (1946),ANMOL GHADI,1946
ANMOL MOTI (1969),ANMOL MOTI,1969
ANMOL RATAN (1950),ANMOL RATAN,1950
ANMOL SAHARA (1952),ANMOL SAHARA,1952
ANMOL SITARA (1983),ANMOL SITARA,1983
ANMOL TASVEER (1978),ANMOL TASVEER,1978
ANNADATA (1953),ANNADATA,1953
ANNADATA (1972),ANNADATA,1972
ANOKHA (1975),ANOKHA,1975
ANOKHA ANDAZ (1995),ANOKHA ANDAZ,1995
ANOKHA BANDHAN (1982),ANOKHA BANDHAN,1982
ANOKHA DAAN (1972),ANOKHA DAAN,1972
ANOKHA INSAAN (1986),ANOKHA INSAAN,1986
ANOKHA JUNGLE (1956),ANOKHA JUNGLE,1956
ANOKHA MILAN (1972),ANOKHA MILAN,1972
ANOKHA MOD (1985),ANOKHA MOD,1985
ANOKHA PREM (1934),ANOKHA PREM,1934
ANOKHA PREM YUDH (1994),ANOKHA PREM YUDH,1994
ANOKHA PYAR (1948),ANOKHA PYAR,1948
ANOKHA RISHTA (1986),ANOKHA RISHTA,1986
ANOKHI ADA (1948),ANOKHI ADA,1948
ANOKHI ADA (1973),ANOKHI ADA,1973
ANOKHI MOHABBAT (1934),ANOKHI MOHABBAT,1934
ANOKHI PEHCHAN (1972),ANOKHI PEHCHAN,1972
ANOKHI RAAT (1968),ANOKHI RAAT,1968
ANOKHI SEVA (1949),ANOKHI SEVA,1949
ANPADH (1962),ANPADH,1962
ANPADH (1978),ANPADH,1978
ANSOO BAN GAVE PHOOL (1969),ANSOO BAN GAVE PHOOL,1969
ANSOO Kl DUNIYA (1936),ANSOO Kl DUNIYA,1936
ANTARNAAD (1992),ANTARNAAD,1992
ANURADHA (1940),ANURADHA,1940
ANURADHA (1960),ANURADHA,1960
ANURAG (1956),ANURAG,1956
ANURODH (1977),ANURODH,1977
Anyay Hi Anyay (1999),Anyay Hi Anyay,1999
APATKAAL (1993),APATKAAL,1993
APLAM CHAPLAM (1961),APLAM CHAPLAM,1961
APMAAN (1982),APMAAN,1982
APMAAN Kl AAG (1990),APMAAN Kl AAG,1990
APNA BANA LO (1982),APNA BANA LO,1982
APNA BANAKE DEKHO (1962),APNA BANAKE DEKHO,1962
APNA DESH (1949),APNA DESH,1949
APNA DESH (1972),APNA DESH,1972
APNA DESH PARAYE LOG (1989),APNA DESH PARAYE LOG,1989
APNA DUSHMAN (1975),APNA DUSHMAN,1975
APNA GHAR (1960),APNA GHAR,1960
APNA GHAR (1989),APNA GHAR,1989
APNA GHAR APNI KAHANI (1968),APNA GHAR APNI KAHANI,1968
APNA HAATH JAGANNATH (1960),APNA HAATH JAGANNATH,1960
APNA KHOON (1978),APNA KHOON,1978
APNA KHOON APNA DUSHMAN (1969),APNA KHOON APNA DUSHMAN,1969
APNA PARAYA (1941),APNA PARAYA,1941
APNAPAN (1977),APNAPAN,1977
APNE APNE (1987),APNE APNE,1987
APNE BEGAANE (1989),APNE BEGAANE,1989
APNE DAM PAR (1996),APNE DAM PAR,1996
APNE DUSHMAN (1975),APNE DUSHMAN,1975
APNE HUE PARAYE (1964),APNE HUE PARAYE,1964
APNE PARAYE (1980),APNE PARAYE,1980
APNE RANG HAZAR (1975),APNE RANG HAZAR,1975
APNI CHHAYA (1950),APNI CHHAYA,1950
APNI IZZAT (1952),APNI IZZAT,1952
APNI NAGARIA (1940),APNI NAGARIA,1940
APPURAJA (1990),APPURAJA,1990
APRADH (1972),APRADH,1972
APRADHI (1950),APRADHI,1950
APRADHI (1974),APRADHI,1974
APRADHI (1992),APRADHI,1992
APRADHI KAUN (1957),APRADHI KAUN,1957
APRADHI KAUN (1982),APRADHI KAUN,1982
APRIL POOL (1964),APRIL POOL,1964
APSARA (1961),APSARA,1961
ARAB KA LAL (1964),ARAB KA LAL,1964
ARAB KA SAUDAGAR (1956),ARAB KA SAUDAGAR,1956
ARAB KA SITARA (1961),ARAB KA SITARA,1961
ARABIAN NIGHT (1967),ARABIAN NIGHT,1967
ARADHANA (1969),ARADHANA,1969
ARCHANA (1973),ARCHANA,1973
ARDH SATYA (1983),ARDH SATYA,1983
ARDHANGINI (1959),ARDHANGINI,1959
ARJUN (1985),ARJUN,1985
ARJUN PANDIT (1976),ARJUN PANDIT,1976
Arjun Pandit (1999),Arjun Pandit,1999
ARMAAN (1953),ARMAAN,1953
ARMAAN (1981),ARMAAN,1981
ARMY (1996),ARMY,1996
AROUND THE WORLD (1967),AROUND THE WORLD,1967
ARPAN (1983),ARPAN,1983
ARTH (1983),ARTH,1983
ARVIND DESAI Kl AJEEB DASTAN (1978),ARVIND DESAI Kl AJEEB DASTAN,1978
ARZOO (1950),ARZOO,1950
ARZOO (1965),ARZOO,1965
ASAMBHAV (1984),ASAMBHAV,1984
ASHA (1938),ASHA,1938
ASHA (1957),ASHA,1957
ASHA (1980),ASHA,1980
ASHA JYOTI (1984),ASHA JYOTI,1984
ASHADH KA EK DIN (1971),ASHADH KA EK DIN,1971
ASHANT (1993),ASHANT,1993
ASHANTI (1982),ASHANTI,1982
ASHIANA (1936),ASHIANA,1936
ASHIANA (1952),ASHIANA,1952
ASHIQUE MASTANA (1996),ASHIQUE MASTANA,1996
ASHIRWAD (1943),ASHIRWAD,1943
ASHIRWAD (1969),ASHIRWAD,1969
ASHWINI (1992),ASHWINI,1992
ASLI NAQLI (1962),ASLI NAQLI,1962
ASLI NAQLI (1986),ASLI NAQLI,1986
ASLIYAT (1974),ASLIYAT,1974
ATISHBAAZ (1989),ATISHBAAZ,1989
ATITHEE (1978),ATITHEE,1978
ATMA RAM (1979),ATMA RAM,1979
